Code	Name	Department	AgentToken
EMP001	Ahmed Akhtar	Engineering	40d67696-dd51-4515-bacb-57e9ee2bdfd7
EMP002	Sara Ansari	Engineering	595d3d2d-2cd7-4d88-9cbc-3eadc8b83c29
EMP003	Muhammad Baig	Engineering	60c9c9cc-8b3f-4e44-a8f3-cb0eaa406cac
EMP004	Fatima Sheikh	Engineering	bdd63801-def6-42de-b60e-23d75d6b65a1
EMP005	Ali Malik	Engineering	eda9eb5a-8761-4dc5-82a6-a9e2d276f19a
EMP006	Zainab Malik	Engineering	c0704b7c-7e76-44c4-884f-05d78142c241
EMP007	Hassan Ahmed	Engineering	f90f25ee-63c2-4043-843c-8beee860a721
EMP008	Aisha Abbasi	Engineering	63a3d5d1-6c7c-4729-8623-3480f13bf264
EMP009	Omar Sheikh	Engineering	d3c7a449-3519-4b90-8440-0a99b618c2ca
EMP010	Nadia Butt	Engineering	13195413-d363-4b77-b54b-0b7a6bbb993a
EMP011	Bilal Butt	Engineering	6e79e392-d59c-4165-bcae-784b294927d6
EMP012	Sana Hashmi	Engineering	82e0a030-9bd5-4fd9-aa3a-e9be406d71be
EMP013	Tariq Akhtar	Engineering	3e3acf91-1ab3-4190-bb23-23b876a58b9f
EMP014	Hira Mirza	Engineering	c2bf4620-0f11-46be-b60f-fb0ba95840da
EMP015	Imran Nawaz	Engineering	2923cb51-5bae-4e60-aca6-9871caa5cd42
EMP016	Rabia Qureshi	Design	4fecbe3f-f346-4ef1-9c49-d080015b855b
EMP017	Usman Baig	Design	4ad230e2-0a66-445f-875a-fe755979c086
EMP018	Maria Hussain	Design	b28cf4b7-b60a-4f99-aa63-ffa41c20140d
EMP019	Hamza Javed	Design	76fda8e2-3d2f-47b6-ae00-f4d66ee308d0
EMP020	Saima Abbasi	Design	b134c363-964d-4dfd-bb50-745ad3408bea
EMP021	Khalid Nawaz	Design	5fd78d1b-3665-454c-ac28-0efd84ade3f9
EMP022	Amber Hussain	Design	862c1bc6-b919-4f84-a4bc-8ae184d88501
EMP023	Adnan Javed	Design	2fe40ac2-ffae-4367-afce-af08509603b1
EMP024	Lubna Ali	Design	b9d3eed8-e96d-4290-af03-59b43877dd32
EMP025	Faisal Raza	Design	04970579-eb80-4b67-859c-ca8562dae612
EMP026	Noor Siddiqui	Sales	713a4e89-8cea-48a9-a76f-ff01c59b63e2
EMP027	Waseem Khan	Sales	6391e0c9-4776-4198-a170-aca9f5befa40
EMP028	Ayesha Sheikh	Sales	e73de5b3-6029-4e4b-93bb-b75c6d3279cf
EMP029	Rizwan Javed	Sales	b45bd1ec-c39f-40a5-9ab8-6b2c30b67235
EMP030	Maryam Baig	Sales	1c67c2f4-ce8f-4e02-9906-8c8f9714fd2f
EMP031	Asad Qureshi	Sales	5aa889b5-1f64-43ea-b271-f9e4301336b8
EMP032	Sobia Khan	Sales	3e309d15-4db8-4555-8fb2-391658a5d735
EMP033	Kamran Ansari	Sales	5057dd15-888c-418e-acc7-dcccc6bc6bfa
EMP034	Shazia Javed	Sales	2325c5a6-2af4-4ea0-8630-ce5045dbfc0b
EMP035	Naveed Butt	Sales	4de6b910-07df-411d-86a8-631e958043f6
EMP036	Tooba Qureshi	HR	aa9820d4-3147-471d-a3e7-f44de0e3216f
EMP037	Zahid Javed	HR	c32fe758-8ccf-4082-a6f6-a922babf330d
EMP038	Rida Ahmed	HR	3f2da503-c413-464d-bc1d-d66013e04f21
EMP039	Tahir Chaudhry	HR	a359eef7-3bbb-4d98-b052-19768cb47957
EMP040	Maham Akhtar	HR	aa45a43d-7852-4c35-a327-9125462dc66c
EMP041	Nasir Ali	HR	f4ff798c-402d-45aa-add5-b453a59615a5
EMP042	Uzma Ali	HR	4935b85c-c82e-4a1e-81db-55bc99573678
EMP043	Aamir Qureshi	HR	ef646e12-aba1-45c5-8a23-cb09ac105bf1
EMP044	Sidra Mirza	Marketing	3215e8fb-c10a-421d-a16b-37fc691c7f39
EMP045	Waqar Chaudhry	Marketing	d8de6c36-1dbd-48a0-9b2c-bed67cd955d5
EMP046	Iqra Khan	Marketing	34633a00-edc5-4cd4-86d3-aaf00291bdbe
EMP047	Farhan Malik	Marketing	84e898f8-ab48-40fc-ac19-9597c474a235
EMP048	Nimra Ali	Marketing	d3344eba-911f-4512-9a22-e0a6ef8e39da
EMP049	Junaid Khan	Marketing	849ed341-2968-47b0-b0eb-603194c18f1f
EMP050	Bushra Butt	Marketing	f234ca12-2d7f-44e4-a966-473c6f82b7a4
